Date,Patch,Blue,Red,Winner,Loser,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Length,Blue_Gold,Blue_Kills,Blue_Towers,Blue_Dragons,Blue_Barons,Blue_RiftHerald,Red_Gold,Red_Kills,Red_Towers,Red_Dragons,Red_Barons,Red_RiftHerald,Diff_Gold,Diff_Kills,Diff_Towers,Diff_Dragons,Diff_Barons,Diff_RiftHerald,Tournament,Match of the Season
2014-04-19,4.5,Team SoloMid,Counter Logic Gaming,red,,"Thresh, LeBlanc, Lee Sin","Jax, Soraka, Syndra","Dr. Mundo, Kha'Zix, Nidalee, Graves, Morgana","Shyvana, Nocturne, Twisted Fate, Lucian, Lulu","Dyrus,TheOddOne,Bjergsen,WildTurtle,Xpecial","Nien,dexter,Link,Doublelift,aphromoo",28:02,37600,3,5,0,0,nan,54000,13,11,3,1,nan,-16400,-10,-6,-3,-1,,NA-LCS-2014-Spring-Playoffs,6
2014-04-18,4.5,Team Dignitas,Team Curse,red,,"LeBlanc, Thresh, Ryze","Lee Sin, Kha'Zix, Soraka","Jax, Elise, Nidalee, Graves, Annie","Dr. Mundo, Xin Zhao, Lulu, Lucian, Leona","Cruzer,Crumbzz,Scarra,Imaqtpie,KiWiKiD","Quas,IWDominate,Voyboy,Cop,BunnyFuFuu",31:31,43000,5,4,0,0,nan,56300,17,9,4,1,nan,-13300,-12,-5,-4,-1,,NA-LCS-2014-Spring-Playoffs,5
2014-04-18,4.5,Team Curse,Team Dignitas,blue,,"Lee Sin, Annie, Elise","LeBlanc, Ryze, Soraka","Jax, Kha'Zix, Lulu, Lucian, Leona","Trundle, Evelynn, Nidalee, Graves, Thresh","Quas,IWDominate,Voyboy,Cop,BunnyFuFuu","Cruzer,Crumbzz,Scarra,Imaqtpie,KiWiKiD",35:12,61000,18,9,4,0,nan,56000,9,7,1,2,nan,5000,9,2,3,-2,,NA-LCS-2014-Spring-Playoffs,4
2014-04-18,4.5,Team Dignitas,Team Curse,blue,,"LeBlanc, Ryze, Thresh","Soraka, Kha'Zix, Lee Sin","Jax, Elise, Nidalee, Lucian, Annie","Dr. Mundo, Xin Zhao, Yasuo, Corki, Leona","Cruzer,Crumbzz,Scarra,Imaqtpie,KiWiKiD","Quas,IWDominate,Voyboy,Cop,BunnyFuFuu",26:40,48100,7,11,2,1,nan,38600,5,4,1,0,nan,9500,2,7,1,1,,NA-LCS-2014-Spring-Playoffs,3
2014-04-18,4.5,Team Coast,Counter Logic Gaming,red,,"Orianna, Lulu, Soraka","Annie, Ziggs, Jax","Irelia, Nocturne, LeBlanc, Ezreal, Karma","Trundle, Lee Sin, Nidalee, Lucian, Thresh","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin","Nien,dexter,Link,Doublelift,aphromoo",33:04,44200,8,4,1,0,nan,52100,8,9,3,1,nan,-7900,0,-5,-2,-1,,NA-LCS-2014-Spring-Playoffs,2
2014-04-18,4.5,Counter Logic Gaming,Team Coast,blue,,"Annie, Ziggs, Lee Sin","Vayne, Kha'Zix, Orianna","Jax, Nocturne, Soraka, Lucian, Lulu","Ryze, Xin Zhao, LeBlanc, Ezreal, Thresh","Nien,dexter,Link,Doublelift,aphromoo","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin",29:53,54900,12,11,2,1,nan,38800,3,2,0,0,nan,16100,9,9,2,1,,NA-LCS-2014-Spring-Playoffs,1
2013-11-03,,COGnitive Gaming,vVv Gaming,red,,"Zed, Vi, Vayne","Lulu, Annie, Jax","Shyvana, Elise, LeBlanc, Corki, Zyra","Lissandra, Jarvan IV, Kha'Zix, Tristana, Thresh","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen",42:00,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,22
2013-11-03,,vVv Gaming,COGnitive Gaming,red,,"Lulu, Annie, Zyra","Zed, Vayne, Corki","Zac, Vi, Kassadin, Tristana, Fiddlesticks","Renekton, Elise, Lissandra, Caitlyn, Thresh","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking",23:54,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,21
2013-11-03,,vVv Gaming,COGnitive Gaming,red,,"Lulu, Annie, Renekton","Zed, Vayne, Corki","Jax, Nocturne, Orianna, Caitlyn, Nami","Shyvana, Vi, Lissandra, Twitch, Thresh","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking",32:09,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,20
2013-11-02,,Curse Academy,Napkins in Disguise,red,,"Lee Sin, Zyra, Kassadin","Fiddlesticks, Annie, Nidalee","Renekton, Vi, Gragas, Caitlyn, Nami","Aatrox, Elise, Ahri, Tristana, Sona","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow","Innox,ScubaChris,NubbyPoohBear,Flappy Bearfish,Gleebglarbu",25:32,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,19
2013-11-02,,Napkins in Disguise,Curse Academy,blue,,"Fiddlesticks, Aatrox, Shen","Zyra, Lee Sin, Nidalee","Riven, Elise, Gragas, Tristana, Annie","Shyvana, Jarvan IV, Brand, Jax, Thresh","Innox,ScubaChris,NubbyPoohBear,Flappy Bearfish,Gleebglarbu","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow",30:50,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,18
2013-10-28,,Quantic Gaming,Team VEX,red,,"Aatrox, Corki, Zilean","Caitlyn, Nidalee, Zed","Renekton, Elise, Gragas, Lucian, Fiddlesticks","Volibear, Vi, Orianna, Vayne, Thresh","Apple,Prime,SuNo,locodoco,Gunza","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen",39:50,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,17
2013-10-28,,Curse Academy,Otacool,blue,,"Jarvan IV, Jax, Zed","Fiddlesticks, Tryndamere, Elise","Shen, Aatrox, Gragas, Caitlyn, Nami","Renekton, Vi, Ahri, Corki, Annie","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow","Fallenbandit,Dolphin Trainer,Yugi,Moonway,Pršphet",35:14,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,16
2013-10-28,,Curse Academy,Team VEX,red,,"Zed, Elise, Jax","Fiddlesticks, Annie, Aatrox","Shyvana, Jarvan IV, Nidalee, Tryndamere, Lissandra","Malphite, Vi, Corki, Lee Sin, Nami","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen",34:26,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,15
2013-10-28,,Team VEX,Otacool,red,,"Lee Sin, Aatrox, Ahri","Corki, Shen, Zed","Shyvana, Elise, Kha'Zix, Caitlyn, Annie","Renekton, Vi, Orianna, Vayne, Thresh","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen","Fallenbandit,Dolphin Trainer,Yugi,Moonway,Pršphet",36:04,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,14
2013-10-27,,Gold Gaming LA,COGnitive Gaming,red,,"Lulu, Corki, Annie","Aatrox, Kassadin, Zed","Renekton, Jarvan IV, Ahri, Caitlyn, Thresh","Rumble, Elise, Nidalee, Vayne, Zyra","Yazuki,korkez,Bischu,otter,NydusHerMain","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking",35:37,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,13
2013-10-27,,Gold Gaming LA,1UP Gaming,blue,,"Vi, Teemo, Kassadin","Nidalee, Renekton, Soraka","Jax, Jarvan IV, Zed, Caitlyn, Zyra","Shyvana, Elise, Gragas, Lucian, Nami","Yazuki,korkez,Bischu,otter,NydusHerMain","Knives Millions,Broseboro,Grumpylol,Anoladoran,Hao",33:45,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,12
2013-10-27,,COGnitive Gaming,1UP Gaming,blue,,"Renekton, Kassadin, Elise","Vayne, Jax, Lulu","Shyvana, Vi, Lissandra, Corki, Annie","Zac, Lee Sin, Zed, Caitlyn, Thresh","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking","Knives,Broseboro,Grumpylol,Anoladoran,Hao",22:21,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,11
2013-10-27,,Quantic Gaming,Otacool,blue,,"Aatrox, Annie, Elise","Thresh, Vi, Caitlyn","Shen, Lee Sin, Zed, Lucian, Fiddlesticks","Jax, Jarvan IV, Ahri, Corki, Alistar","Apple,Prime,SuNo,locodoco,Gunza","Fallenbandit,Dolphin Trainer,Yugi,Moonway,Pršphet",24:19,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,10
2013-10-27,,Napkins in Disguise,COGnitive Gaming,blue,,"Lulu, Zed, Vi","Kassadin, Lee Sin, Gragas","Tryndamere, Elise, Twisted Fate, Corki, Zyra","Nidalee, Jarvan IV, Rumble, Graves, Annie","Innox,ScubaChris,NubbyPoohBear,Flappy Bearfish,Gleebglarbu","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking",29:21,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,9
2013-10-27,,Napkins in Disguise,1UP Gaming,blue,,"Elise, Zed, Yorick","Zilean, Corki, Annie","Garen, Lee Sin, Nidalee, Tristana, Thresh","Janna, Vi, Gragas, Quinn, Tryndamere","Innox,ScubaChris,NubbyPoohBear,Flappy Bearfish,Gleebglarbu","Knives Millions,Broseboro,Grumpylol,Anoladoran,Hao",34:19,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,8
2013-10-27,,Curse Academy,Quantic Gaming,blue,,"Elise, Zed, Jax","Aatrox, Vayne, Tryndamere","Shyvana, Jarvan IV, Nidalee, Kennen, Fiddlesticks","Shen, Vi, Ahri, Caitlyn, Annie","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow","Apple,Prime,SuNo,locodoco,Gunza",42:39,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,7
2013-10-26,,Napkins in Disguise,Gold Gaming LA,blue,,"Zyra, Elise, Zed","Lee Sin, Corki, Vi","Nidalee, Aatrox, Gragas, Tristana, Annie","Renekton, Jarvan IV, Orianna, Graves, Sona","Innox,ScubaChris,NubbyPoohBear,Flappy Bearfish,Gleebglarbu","Yazuki,korkez,Bischu,otter,NydusHerMain",49:46,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,6
2013-10-19,,COGnitive Gaming,Team Tempest,blue,,"Ahri, Zed, Kassadin","Vi, Lee Sin, Elise","Shen, Jarvan IV, Lulu, Corki, Thresh","Renekton, Aatrox, Orianna, Caitlyn, Sona","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking","GeekGoneMad,Doctta,BabyZeus,Shynon,LoH",24:33,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,5
2013-10-19,,Gold Gaming LA,Team Green Forest,blue,,"Lee Sin, Ahri, Renekton","Nidalee, Zed, Orianna","Jax, Elise, Ezreal, Corki, Nami","Karma, Nocturne, Gragas, Caitlyn, Zyra","Yazuki,korkez,Bischu,otter,NydusHerMain","Jezie,SaltyKai,LinsanityV1,Black Flamingos,vieTz",32:07,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,4
2013-10-19,,Curse Academy,Sirens A Team,blue,,"Nidalee, Jarvan IV, Aatrox","Gragas, Thresh, Vayne","Shen, Elise, Zed, Caitlyn, Fiddlesticks","Renekton, Vi, Lissandra, Ezreal, Zyra","Rhux,OneBadBrad,Only Jaximus,fabbbyyy,Tsatsulow","Leurlo,Nightblue3,KilaKast,SwingingSalt,Trixzim",29:54,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,3
2013-10-19,,Denial eSports.East,Team VEX,red,,"Kassadin, Mordekaiser, Zed","Corki, Jarvan IV, Renekton","Nasus, Elise, Nidalee, Caitlyn, Zyra","Jax, Vi, Orianna, Vayne, Thresh","Billyboss,YoDa,pekin woof,ecko,AtomicN","Mr Dr Snugglez,PorpoisePops,Cheesedbeluga,TailsGG,ExecutionerKen",45:33,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,2
2013-10-19,,Quantic Gaming,Soul Control,blue,,"Karthus, Swain, Aatrox","Jax, Diana, Zed","Renekton, Lee Sin, Ahri, Caitlyn, Fiddlesticks","Shen, Nasus, Orianna, Corki, Annie","Apple,Prime,SuNo,Locodoco,Gunza","Kuuchuu,Azingy,Loc Tran,Sai,Entus",31:43,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-1,1
2013-09-01,,COGnitive Gaming,New World Eclipse,blue,,"Aatrox, Twisted Fate, Kassadin","Lulu, Kayle, Karthus","Zac, Xin Zhao, Orianna, Caitlyn, Fiddlesticks","Swain, Jarvan IV, Shen, Vayne, Thresh","iDream,Cpt Ziploc,Zamphira,nothinghere,Valkrin","Quas,npromsiri,Shao,Meruem,miwi",32:27,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,7
2013-09-01,,COGnitive Gaming,compLexity Gaming,red,,"Nasus, Renekton, Kassadin","Lulu, Zac, Elise","Shen, Xin Zhao, Karthus, Caitlyn, Fiddlesticks","Rumble, Jarvan IV, Ezreal, Vayne, Thresh","iDream,Cpt Ziploc,Zamphira,nothinghere,Valkrin","MegaZero,Lautemortis,PR0LLY,Chuuper,M eye A",29:29,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,6
2013-09-01,,New World Eclipse,COGnitive Gaming,red,,"Lulu, Elise, Kayle","Aatrox, Twisted Fate, Kassadin","Zed, Jarvan IV, Kennen, Caitlyn, Sona","Zac, Xin Zhao, Karthus, Twitch, Blitzcrank","Quas,npromsiri,Shao,Meruem,miwi","iDream,Cpt Ziploc,Zamphira,nothinghere,Valkrin",30:12,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,5
2013-09-01,,compLexity Gaming,COGnitive Gaming,blue,,"Lulu, Blitzcrank, Zac","Nasus, Renekton, Kassadin","Rumble, Elise, Orianna, Caitlyn, Zyra","Shen, Jarvan IV, Karthus, Twitch, Thresh","MegaZero,Lautemortis,PR0LLY,Chuuper,M eye A","iDream,Cpt Ziploc,Zamphira,nothinghere,Valkrin",40:33,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,4
2013-08-31,,compLexity Gaming,To Be Determined,blue,,"Vladimir, Akali, Gragas","Rumble, Renekton, Kassadin","Irelia, Elise, Kayle, Tristana, Thresh","Kha'Zix, Nasus, Zyra, Caitlyn, Nami","MegaZero,Lautemortis,PR0LLY,Chuuper,M eye A","Westrice,heavenTime,Arthelon,ROBERTxLEE,NydusHerMain",43:27,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,3
2013-08-31,,To Be Determined,compLexity Gaming,blue,,"Rumble, Kassadin, Renekton","Vladimir, Aatrox, Zyra","Akali, Nasus, Elise, Caitlyn, Lulu","Zac, Amumu, Zed, Ezreal, Thresh","Westrice,heavenTime,Arthelon,ROBERTxLEE,NydusHerMain","MegaZero,Lautemortis,PR0LLY,Chuuper,M eye A",35:26,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,2
2013-08-31,,compLexity Gaming,To Be Determined,blue,,"Vladimir, Gragas, Aatrox","Rumble, Elise, Thresh","Renekton, Nasus, Kassadin, Tristana, Zyra","Talon, Lee Sin, Kennen, Caitlyn, Lulu","MegaZero,Lautemortis,PR0LLY,Chuuper,M eye A","Westrice,heavenTime,Arthelon,ROBERTxLEE,NydusHerMain",31:12,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Prequalifier-PAX,1
2013-12-22,,Team Coast,The Walking Zed,blue,,"Nidalee, Gragas, Orianna","Kassadin, Riven, Ziggs","Renekton, Olaf, Ahri, Jinx, Thresh","Shyvana, Elise, Jayce, Sivir, Fiddlesticks","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",34:10,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,27
2013-12-22,,The Walking Zed,Team Coast,blue,,"Kassadin, Riven, Sivir","Nidalee, Gragas, Shyvana","Kha'Zix, Olaf, Ziggs, Lucian, Fiddlesticks","Nasus, Elise, LeBlanc, Jinx, Thresh","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin",41:25,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,26
2013-12-22,,Team Coast,The Walking Zed,blue,,"Nidalee, Gragas, Orianna","Riven, Kassadin, Ziggs","Nasus, Olaf, Ahri, Sivir, Thresh","Shyvana, Wukong, Katarina, Jinx, Karma","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",33:53,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,25
2013-12-21,,The Walking Zed,Team Coast,blue,,"Riven, Kassadin, Ziggs","Gragas, Nidalee, Dr. Mundo","Renekton, Olaf, Orianna, Sivir, Karma","Shyvana, Elise, Ahri, Varus, Thresh","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin",53:39,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,24
2013-12-21,,Team Coast,The Walking Zed,blue,,"Nidalee, Gragas, Dr. Mundo","Riven, Kassadin, Sivir","Shyvana, Olaf, Ziggs, Jinx, Annie","Nasus, Elise, Orianna, Lucian, Thresh","ZionSpartan,NintendudeX,Shiphtur,WizFujiiN,Daydreamin","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",25:47,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,23
2013-12-21,,COGnitive Gaming,Team Curse,red,,"Shyvana, Draven, Dr. Mundo","Riven, Ziggs, Kassadin","Olaf, Vi, Kog'Maw, Jinx, Leona","Renekton, Wukong, Katarina, Sivir, Annie","Cris,Captain Ziploc,Zamphira,nothinghere,Zaineking","Quas,IWillDominate,Voyboy,Cop,Zekent",43:31,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,22
2013-12-21,,Team Curse,COGnitive Gaming,blue,,"Kog'Maw, Riven, Leona","Kassadin, Shyvana, Vladimir","Renekton, Dr. Mundo, Ziggs, Draven, Annie","Elise, Olaf, Orianna, Sivir, Thresh","Quas,IWillDominate,Voyboy,Cop,Zekent","Cris,Captain Ziploc,Zamphira,nothinghere,Zaineking",38:13,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,21
2013-12-21,,Evil Geniuses,To Be Determined,blue,,"Gragas, Lee Sin, Jarvan IV","Kassadin, Sivir, Olaf","Renekton, Elise, Ziggs, Jinx, Leona","Akali, Shyvana, Lissandra, Lucian, Thresh","InnoX,Snoopeh,Pobelter,Yellowpete,Krepo","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub",25:15,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,20
2013-12-20,,To Be Determined,Evil Geniuses,red,,"Shyvana, Leona","Gragas, Lee Sin, Kassadin","Renekton, Vi, Orianna, Sivir, Thresh","Dr. Mundo, Olaf, Ziggs, Lucian, Annie","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub","InnoX,Snoopeh,Pobelter,Yellowpete,Krepo",37:05,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,19
2013-12-20,,COGnitive Gaming,Team Curse,red,,"Nasus, Ziggs, Kassadin","Riven, Olaf, Kog'Maw","Elise, Vi, Sivir, Lucian, Leona","Shyvana, Dr. Mundo, Vladimir, Draven, Thresh","Cris,Captain Ziploc,Zamphira,nothinghere,Zaineking","Quas,IWillDominate,Voyboy,Cop,Zekent",37:10,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,18
2013-12-20,,Evil Geniuses,To Be Determined,blue,,"Lee Sin, Gragas, Lucian","Kassadin, Sivir, Shyvana","Riven, Olaf, Ziggs, Ezreal, Leona","Kha'Zix, Vi, Dr. Mundo, Jinx, Thresh","InnoX,Snoopeh,Pobelter,Yellowpete,Krepo","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub",40:17,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,17
2013-12-20,,Team Curse,COGnitive Gaming,red,,"Karthus, Kog'Maw, Olaf","Kassadin, Sivir, Shyvana","Renekton, Dr. Mundo, Nidalee, Lucian, Annie","Riven, Vi, Ziggs, Jinx, Leona","Quas,IWillDominate,Voyboy,Cop,Zekent","Cris,Captain Ziploc,Zamphira,nothinghere,Zaineking",45:57,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,16
2013-12-09,,To Be Determined,COGnitive Gaming,blue,,"Lulu, Evelynn, Shyvana","Kassadin, Elise, Sivir","Lee Sin, Vi, Gragas, Lucian, Thresh","Rengar, Olaf, Ziggs, Jinx, Annie","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking",25:00,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,15
2013-12-08,,vVv Gaming,The Walking Zed,red,,Lucian,"Kassadin, Sivir, Dr. Mundo","Lee Sin, Diana, Wukong, Teemo, Karma","Shyvana, Elise, Nidalee, Caitlyn, Janna","Dr Snugglez,PorpoisePops,CheesdBeluga,Tails,Godshu","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",25:37,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,14
2013-12-08,,compLexity Gaming,The Walking Zed,red,,"Elise, Lucian, Shyvana","Riven, Annie, Sivir","Dr. Mundo, Evelynn, Kassadin, Ezreal, Leona","Nasus, Olaf, Orianna, Jinx, Fiddlesticks","MegaZero,Ninjaken,Jintae,Chuuper,MeyeA","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",30:33,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,13
2013-12-08,,vVv Gaming,To Be Determined,red,,"Rengar, Gragas, Olaf","Shyvana, Elise, Sivir","Dr. Mundo, Vi, Kassadin, Ezreal, Leona","Akali, Lee Sin, Riven, Lucian, Annie","Dr Snugglez,PorpoisePops,CheesdBeluga,Tails,Godshu","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub",52:07,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,12
2013-12-07,,COGnitive Gaming,The Walking Zed,blue,,"Lucian, Nasus, Shyvana","Evelynn, Kassadin, Sivir","Rengar, Olaf, Ziggs, Jinx, Annie","Renekton, Elise, Gragas, Vayne, Thresh","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",38:20,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,11
2013-12-07,,vVv Gaming,compLexity Gaming,blue,,"Sivir, Orianna, Riven","Rengar, Shyvana, Elise","Dr. Mundo, Vi, Kassadin, Vayne, Thresh","Renekton, Jarvan IV, Zed, Lucian, Annie","Dr Snugglez,PorpoisePops,CheesdBeluga,Tails,Godshu","MegaZero,Ninjaken,Jintae,Chuuper,MeyeA",39:43,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,10
2013-12-07,,COGnitive Gaming,vVv Gaming,blue,,"Vayne, Kassadin, Kha'Zix","Olaf, Evelynn, Ziggs","Riven, Elise, Sivir, Lucian, Annie","Shyvana, Rengar, Xerath, Ezreal, Janna","iDream,Captain Ziploc,Zamphira,nothinghere,Zaineking","Dr Snugglez,PorpoisePops,CheesdBeluga,Tails,Godshu",35:11,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,9
2013-12-07,,Quantic Gaming,The Walking Zed,red,,"Gragas, Zed, Nidalee","Riven, Rengar, Kassadin","Renekton, Olaf, Orianna, Sivir, Annie","Shyvana, Elise, Ziggs, Lucian, Thresh","Apple,Prime,SuNo,Locodoco,Gunza","Yazuki,KOR Kez,Bischu,bobbyhankhill,NydusHerMain",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,8
2013-12-07,,To Be Determined,Quantic Gaming,blue,,"Kennen, Rengar, Shyvana","Annie, Kassadin, Sivir","Renekton, Olaf, Gragas, Lucian, Thresh","Dr. Mundo, Elise, Orianna, Tristana, Taric","Westrice,Brokenshard,Arthelon,ROBERTxLEE,Bubbadub","Apple,Prime,SuNo,Locodoco,Gunza",38:42,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2014-Spring-Promotion,7
